date,in_window,cp_id,cp_name,role,credit_limit_inr,limit_basis,receivable_inr,presettlement_inr,contracted_inr,advance_pending_inr,credit_exposure_p04_basis_inr,credit_exposure_inr,utilisation_frac,utilisation_receivable_frac,utilisation_contracted_frac,utilisation_p04_basis_frac,advance_reliance_multiple,days_past_due,feat_utilisation_peak_91d_frac,feat_dpd_max_12m_days,feat_history_months,feat_order_concentration_frac,advance_reliance_peak_91d_multiple,contracted_utilisation_peak_91d_frac,pd_model_annual_frac,band_model,overlay_notches,band_final,band_max_credit_utilisation_frac,band_max_advance_reliance_multiple,breach_hard,breach_hard_receivable,breach_hard_credit_p04_basis,flag_soft_utilisation,flag_performance_advance_p14,flag_contracted_over_limit,flag_past_due,flag_band_utilisation,flag_band_advance,limit_action,recommended_limit_inr,events,label
2022-03-09,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68936850.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-09,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30638600.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-10,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,34.82546201,0.0,0.0,0.0,0.00578303,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-10,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.15605749,0.0,0.0,0.0,0.00412071,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-10,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.97741273,0.0,0.0,0.0,0.01867184,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-10,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45799560.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-10,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68699340.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-10,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30533040.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-11,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,255041269.4174,255041269.4174,0.0,255041269.4174,255041269.4174,0.45543084,0.0,0.45543084,0.45543084,0.0,0.0,0.45543084,19.0,34.85831622,0.02961459,0.0,0.45543084,0.02372545,B,0.0,B,0.9,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — watch utilisation; no increase without a clean review,560000000.0,"SALE_CONTRACTED T02-S1 invoice ₹254.1m (advance ₹0.0m, credit ₹254.1m; P04 utilisation after 45.4%)","ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-11,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.1889117,0.0,0.0,0.0,0.00411813,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-11,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.01026694,0.0,0.0,0.0,0.01866031,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-11,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45853020.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-11,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68779530.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-11,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30568680.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-14,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,248914300.8802,248914300.8802,0.0,248914300.8802,248914300.8802,0.44448982,0.0,0.44448982,0.44448982,0.0,0.0,0.45543084,19.0,34.95687885,0.02961459,0.0,0.45543084,0.02368174,B,0.0,B,0.9,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — watch utilisation; no increase without a clean review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-14,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.28747433,0.0,0.0,0.0,0.00411039,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-14,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.10882957,0.0,0.0,0.0,0.01862575,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-14,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45947640.00000001,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-14,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68921460.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-14,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30631760.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-15,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,231521741.9723,231521741.9723,0.0,231521741.9723,231521741.9723,0.41343168,0.0,0.41343168,0.41343168,0.0,0.0,0.45543084,19.0,34.98973306,0.02961459,0.0,0.45543084,0.02366719,B,0.0,B,0.9,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — watch utilisation; no increase without a clean review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-15,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.32032854,0.0,0.0,0.0,0.00410781,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-15,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.14168378,0.0,0.0,0.0,0.01861425,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-15,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45831420.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-15,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68747130.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-15,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30554280.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-16,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,238860582.668,238860582.668,0.0,238860582.668,238860582.668,0.42653675,0.0,0.42653675,0.42653675,0.0,0.0,0.45543084,19.0,35.02258727,0.02961459,0.0,0.45543084,0.02365264,B,0.0,B,0.9,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — watch utilisation; no increase without a clean review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-16,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.35318275,0.0,0.0,0.0,0.00410524,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-16,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.17453799,0.0,0.0,0.0,0.01860275,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-16,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45723419.99999999,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-16,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68585130.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-16,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30482280.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-17,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,235869311.9723,235869311.9723,0.0,235869311.9723,235869311.9723,0.4211952,0.0,0.4211952,0.4211952,0.0,0.0,0.45543084,19.0,35.05544148,0.02961459,0.0,0.45543084,0.02363811,B,0.0,B,0.9,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — watch utilisation; no increase without a clean review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-17,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.38603696,0.0,0.0,0.0,0.00410266,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-17,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.2073922,0.0,0.0,0.0,0.01859126,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-17,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45521760.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-17,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,68282640.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-17,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30347840.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
