column,flag,source,transformation,unit
inr_rate_3m_pa,PROXY,RBI repo path + OECD MEI India short-term rate IR3TIB (monthly) via sdmx.oecd.org,repo(d) + [OECD month average - calendar-month mean repo]; months without an OECD print use inr_term_spread_3m_pa. Same-month average => <= 1 month look-ahead. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.,rate_pa
usd_rate_3m_pa,PROXY,"US Treasury daily bill rates, 13-week coupon equivalent (home.treasury.gov)","Bond-equivalent yield x 360/365; <= 5-row carry over Treasury holidays (usd_rate_3m_filled); online-only per-year fallback fed funds upper + usd_term_spread_3m_pa, labelled in rates_src (offline cache misses raise). Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.",rate_pa
usd_rate_3m_filled,PROXY,US Treasury bill calendar vs ECB / LME calendars,fx_rates_daily.csv usd_rate_3m_filled OR panel usdinr_filled; flagged like the series it qualifies. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264. Carried days: 42.,bool
rates_src,PROXY,desk.data.fetch_fx,Label carried from fx_rates_daily.csv; flagged like the series it qualifies. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.,text
fwd_premium_3m_pa,PROXY,Derived (covered interest parity),(usdinr_fwd_3m / usdinr - 1) x 365 / days_to_3M. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.,rate_pa
usdinr_fwd_1m,PROXY,Derived (covered interest parity),"desk.units.fx_forward(spot, inr_rate_3m_pa, usd_rate_3m_pa, days to same date +1M): flat short curve. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.",inr_per_usd
usdinr_fwd_3m,PROXY,Derived (covered interest parity),"desk.units.fx_forward(spot, inr_rate_3m_pa, usd_rate_3m_pa, days to same date +3M). Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). rates_src on panel days: USD:UST13W|INR:OECD_IR3TIB=1264.",inr_per_usd
mcx_al_spot_inr_kg,PROXY,"desk.data.mcx (LME cash x usdinr; regulatory.yaml bcd_primary_al_hs7601, sws_rate_on_bcd; market_proxy.yaml mcx_domestic_premium_inr_kg)",PROXY: lme_cash_usd_t x usdinr / 1000 x (1 + BCD x (1 + SWS)) + premium. MANUAL: M1 close with carry stripped at inr_rate_3m_pa. Sources on panel days: PROXY_IMPORT_PARITY=1264 (MANUAL_FFILL = carried over an MCX non-trading day).,inr_per_kg
mcx_al_m1_inr_kg,PROXY,desk.data.mcx,PROXY: spot x (1 + inr_rate_3m_pa x days_to_m1_expiry / 365). MANUAL: bhavcopy close of nearest unexpired contract. Sources on panel days: PROXY_IMPORT_PARITY=1264 (MANUAL_FFILL = carried over an MCX non-trading day).,inr_per_kg
mcx_al_m2_inr_kg,PROXY,desk.data.mcx,PROXY: spot x (1 + inr_rate_3m_pa x days_to_m2_expiry / 365). MANUAL: bhavcopy close of next contract. Sources on panel days: PROXY_IMPORT_PARITY=1264 (MANUAL_FFILL = carried over an MCX non-trading day).,inr_per_kg
mcx_m1_expiry,ASSUMPTION,Rule from exchange.yaml mcx_al_expiry_rule applied to the LME calendar (CONTRACTS §3: MCX holidays not modelled),"Last calendar day of month, rolled back to previous panel day. Real 2022 MCX expiries: exchange.yaml mcx_al_expiry_dates_2022.",date_yyyy_mm_dd
mcx_m2_expiry,ASSUMPTION,Same rule as mcx_m1_expiry,Expiry of the month after M1.,date_yyyy_mm_dd
mcx_src,PROXY,desk.data.mcx,Label; flagged like the series it qualifies. Sources on panel days: PROXY_IMPORT_PARITY=1264 (MANUAL_FFILL = carried over an MCX non-trading day).,text
freight_jea_nsa_usd_t,ASSUMPTION,logistics.yaml freight_jea_nsa_usd_box_ref (assumed USD/20ft at freight_jea_nsa_ref_date) x USEC_MUN weekly shape,"USD/box / container_payload_mt_20ft. Level is a judgement (no citable 2022 quote); shape PROXY. Panel: latest weekly row already assessed (Thursday = week_end - 1 day) on or before the LME day, i.e. point-in-time forward-fill with no look-ahead in the ALIGNMENT (freight_filled=True on every day after the assessment day; a carry > 5 business days raises); empty before the first assessment (NO_FREIGHT_DATA). The weekly LEVELS are hindsight-calibrated (anchors published up to ~7 months later; see freight_weekly.csv note). Window USEC level tags (days): ANCHORED=44, EXTRAP_PRE=22, SIBLING=60.",usd_per_mt
freight_usec_mun_usd_t,ASSUMPTION,"SHAPE (PROXY): Drewry WCI composite via Internet Archive snapshots of https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry. LEVEL (ASSUMPTION, CONTRACTS §4.3): Container News USEC->West India monthly rates where reported, else a Europe->West India sibling-lane bridge or a flat extrapolation (logistics.yaml)","WCI x k(t) with k log-linear between Container News anchors (flat outside) / container_payload_mt_40ft. Column flag = weakest (level). Filter on freight_src (USEC:ANCHORED rows are the best-supported level), not on this flag. Panel: latest weekly row already assessed (Thursday = week_end - 1 day) on or before the LME day, i.e. point-in-time forward-fill with no look-ahead in the ALIGNMENT (freight_filled=True on every day after the assessment day; a carry > 5 business days raises); empty before the first assessment (NO_FREIGHT_DATA). The weekly LEVELS are hindsight-calibrated (anchors published up to ~7 months later; see freight_weekly.csv note). Window USEC level tags (days): ANCHORED=44, EXTRAP_PRE=22, SIBLING=60.",usd_per_mt
freight_filled,ASSUMPTION,freight_weekly.csv Thursday assessment calendar vs LME calendar,"Indicator; flagged like the weakest series it qualifies (freight levels). Panel: latest weekly row already assessed (Thursday = week_end - 1 day) on or before the LME day, i.e. point-in-time forward-fill with no look-ahead in the ALIGNMENT (freight_filled=True on every day after the assessment day; a carry > 5 business days raises); empty before the first assessment (NO_FREIGHT_DATA). The weekly LEVELS are hindsight-calibrated (anchors published up to ~7 months later; see freight_weekly.csv note). Window USEC level tags (days): ANCHORED=44, EXTRAP_PRE=22, SIBLING=60.",bool
freight_src,ASSUMPTION,desk.data.fetch_freight,"Label carried from freight_weekly.csv; flagged like the weakest series it qualifies. Panel: latest weekly row already assessed (Thursday = week_end - 1 day) on or before the LME day, i.e. point-in-time forward-fill with no look-ahead in the ALIGNMENT (freight_filled=True on every day after the assessment day; a carry > 5 business days raises); empty before the first assessment (NO_FREIGHT_DATA). The weekly LEVELS are hindsight-calibrated (anchors published up to ~7 months later; see freight_weekly.csv note). Window USEC level tags (days): ANCHORED=44, EXTRAP_PRE=22, SIBLING=60.",text
